id,action_id,action_type,cluster_name,agent_name,status,progress_percentage,steps,metadata,started_at,completed_at,created_at,updated_at
1,act-f65e1aa3,restart_pod,prod-use2-eks,cluster_manager-staging-use2-eks-01,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""recommendation-e5d5555-c6e9b"",""namespace"":""search"",""reason"":""healthy""}",2026-05-31 23:57:18,,2026-05-31 23:57:18,2026-06-23 12:00:00
2,act-ac2ee3f8,scale_deployment,prod-usw2-eks,worker-staging-use2-eks-05,pending,0,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-2e5d994-d724e"",""namespace"":""checkout"",""reason"":""healthy""}",2026-05-25 23:59:54,,2026-05-25 23:59:54,2026-06-23 12:00:00
3,act-3469ef22,restart_pod,prod-use2-eks,worker-prod-usw2-eks-02,failed,20,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""coredns-e513a45-fb7bf"",""namespace"":""kube-system"",""reason"":""disk_pressure""}",2026-05-31 10:02:36,,2026-05-31 10:02:36,2026-06-23 12:00:00
4,act-e75a886e,restart_pod,prod-usw2-eks,cluster_manager-prod-usw2-eks-01,running,63,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""checkout-web-f628153-c1833"",""namespace"":""checkout"",""reason"":""healthy""}",2026-05-25 22:46:15,,2026-05-25 22:46:15,2026-06-23 12:00:00
5,act-d80b6a38,drain_node,prod-use2-eks,worker-dr-use1-eks-05,running,85,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":false}]","{""pod"":""orders-api-7f89525-97cdd"",""namespace"":""orders"",""reason"":""memory_leak""}",2026-06-18 22:32:58,,2026-06-18 22:32:58,2026-06-23 12:00:00
6,act-61343868,increase_memory_limit,staging-use2-eks,worker-staging-use2-eks-01,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""inventory-svc-1d6f570-1b50d"",""namespace"":""inventory"",""reason"":""memory_leak""}",2026-06-03 04:22:24,2026-06-03 04:26:24,2026-06-03 04:22:24,2026-06-23 12:00:00
7,act-2735c1e6,scale_deployment,prod-usw2-eks,worker-dr-use1-eks-03,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""auth-gateway-d4d3364-aac01"",""namespace"":""identity"",""reason"":""healthy""}",2026-06-18 12:50:47,2026-06-18 12:57:47,2026-06-18 12:50:47,2026-06-23 12:00:00
8,act-4d8524c5,rollback_deploy,prod-usw2-eks,worker-prod-usw2-eks-04,failed,82,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":false}]","{""pod"":""search-api-db28570-d359e"",""namespace"":""search"",""reason"":""healthy""}",2026-06-22 00:52:36,,2026-06-22 00:52:36,2026-06-23 12:00:00
9,act-a21e191f,cordon_node,prod-use2-eks,worker-staging-use2-eks-00,running,13,"[{""step"":""plan"",""done"":false},{""step"":""validate"",""done"":false},{""step"":""execute"",""done"":false},{""step"":""verify"",""done"":false}]","{""pod"":""session-store-4732511-0dba8"",""namespace"":""identity"",""reason"":""memory_leak""}",2026-06-16 22:23:05,,2026-06-16 22:23:05,2026-06-23 12:00:00
10,act-71680fea,scale_deployment,prod-use2-eks,worker-dr-use1-eks-05,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""orders-api-e9b4a39-c3784"",""namespace"":""orders"",""reason"":""memory_leak""}",2026-06-23 02:44:49,2026-06-23 02:51:49,2026-06-23 02:44:49,2026-06-23 12:00:00
11,act-afb1cc06,rollback_deploy,staging-use2-eks,cluster_manager-dr-use1-eks-01,completed,100,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":true}]","{""pod"":""recommendation-2071c72-c0b22"",""namespace"":""search"",""reason"":""healthy""}",2026-06-07 14:40:31,2026-06-07 14:58:31,2026-06-07 14:40:31,2026-06-23 12:00:00
12,act-37d820aa,rollback_deploy,prod-use2-eks,worker-dr-use1-eks-05,failed,78,"[{""step"":""plan"",""done"":true},{""step"":""validate"",""done"":true},{""step"":""execute"",""done"":true},{""step"":""verify"",""done"":false}]","{""pod"":""cart-svc-26a7d77-aafdc"",""namespace"":""checkout"",""reason"":""memory_leak""}",2026-06-20 22:49:12,,2026-06-20 22:49:12,2026-06-23 12:00:00
