id,correlation_id,source,target,message_type,payload,status,created_at,processed_at
1,46539687-4751-cb37-1211-bb0b0175560e,worker-staging-use2-eks-00,worker-prod-usw2-eks-05,heartbeat,"{""pod"":""orders-worker-b907131-2627d"",""action"":""restart""}",processed,2026-06-17 04:05:06,2026-06-17 04:05:14
2,9f7d9e7b-e86f-7987-80f0-dd0fb14a2c46,strategist-staging-use2-eks-00,cluster_manager-staging-use2-eks-00,ack,"{""pod"":""recommendation-87e3198-026ea"",""action"":""notify""}",failed,2026-06-15 16:16:35,2026-06-15 16:16:54
3,fb3da7bd-e041-7793-70d6-3fc423968850,cluster_manager-staging-use2-eks-00,worker-dr-use1-eks-00,escalation,"{""pod"":""ledger-svc-1232e29-49ea1"",""action"":""notify""}",processed,2026-06-21 07:59:45,2026-06-21 07:59:45
4,ad7b1ca1-6abc-d0cb-c3f7-c4df095289be,worker-staging-use2-eks-00,worker-prod-use2-eks-00,action_request,"{""pod"":""notifications-1938743-28dca"",""action"":""scale""}",processed,2026-06-12 10:07:29,2026-06-12 10:07:34
5,2f06f595-537d-aefb-9e5d-2f42053930da,worker-prod-usw2-eks-04,worker-dr-use1-eks-05,action_request,"{""pod"":""orders-api-bfb2f93-32ad3"",""action"":""scale""}",failed,2026-06-16 08:53:15,2026-06-16 08:53:26
6,0924be52-7adb-0ff7-0fd6-b035edcf92d7,worker-prod-usw2-eks-05,strategist-staging-use2-eks-00,prediction,"{""pod"":""session-store-4732511-0dba8"",""action"":""restart""}",processed,2026-05-28 13:59:10,2026-05-28 13:59:11
7,8625b707-648e-08ad-68ac-7403288dd4b3,worker-prod-usw2-eks-03,strategist-prod-usw2-eks-00,heartbeat,"{""pod"":""search-api-d416b43-7cb20"",""action"":""scale""}",pending,2026-06-13 06:49:29,
8,4ef9837e-d3f8-4762-a04f-6afbadd82189,worker-prod-usw2-eks-02,cluster_manager-dr-use1-eks-01,prediction,"{""pod"":""image-resizer-9994630-7c707"",""action"":""notify""}",failed,2026-06-21 14:10:10,2026-06-21 14:10:21
9,3b6c36b5-2a3f-3ec9-a3a5-88384487ccf5,worker-prod-usw2-eks-02,cluster_manager-dr-use1-eks-00,escalation,"{""pod"":""notifications-b2aff41-e1772"",""action"":""notify""}",processed,2026-05-25 14:47:51,2026-05-25 14:47:59
10,9e422fb4-1bd0-f45f-c71a-1fa566ba2f7a,worker-staging-use2-eks-05,worker-prod-usw2-eks-00,escalation,"{""pod"":""search-api-1271443-2f040"",""action"":""notify""}",failed,2026-06-11 12:37:35,2026-06-11 12:37:48
