id,agent_name,agent_type,status,cluster_name,last_heartbeat,metadata,created_at,updated_at
1,cluster_manager-dr-use1-eks-00,cluster_manager,idle,dr-use1-eks,2026-06-23 11:59:23,"{""version"":""1.4.2"",""queue_depth"":37,""load"":0.82}",2026-05-24 20:55:37,2026-06-23 12:00:00
2,worker-prod-usw2-eks-01,worker,degraded,prod-usw2-eks,2026-06-23 11:52:18,"{""version"":""1.4.2"",""queue_depth"":49,""load"":0.4}",2026-06-06 06:29:38,2026-06-23 12:00:00
3,worker-prod-usw2-eks-00,worker,active,prod-usw2-eks,2026-06-23 11:55:14,"{""version"":""1.4.2"",""queue_depth"":18,""load"":0.13}",2026-06-18 04:31:31,2026-06-23 12:00:00
4,worker-dr-use1-eks-01,worker,degraded,dr-use1-eks,2026-06-23 11:54:36,"{""version"":""1.4.2"",""queue_depth"":34,""load"":0.29}",2026-06-13 15:23:05,2026-06-23 12:00:00
5,strategist-staging-use2-eks-00,strategist,degraded,staging-use2-eks,2026-06-23 11:50:54,"{""version"":""1.4.2"",""queue_depth"":2,""load"":0.25}",2026-06-19 02:44:44,2026-06-23 12:00:00
6,cluster_manager-prod-use2-eks-01,cluster_manager,active,prod-use2-eks,2026-06-23 11:54:44,"{""version"":""1.4.2"",""queue_depth"":31,""load"":0.55}",2026-06-22 09:43:00,2026-06-23 12:00:00
7,cluster_manager-prod-usw2-eks-01,cluster_manager,idle,prod-usw2-eks,2026-06-23 11:55:48,"{""version"":""1.4.2"",""queue_depth"":18,""load"":0.53}",2026-06-05 06:22:18,2026-06-23 12:00:00
8,worker-staging-use2-eks-03,worker,active,staging-use2-eks,2026-06-23 11:55:46,"{""version"":""1.4.2"",""queue_depth"":32,""load"":0.25}",2026-06-07 17:33:58,2026-06-23 12:00:00
9,worker-staging-use2-eks-02,worker,active,staging-use2-eks,2026-06-23 11:52:53,"{""version"":""1.4.2"",""queue_depth"":2,""load"":0.71}",2026-06-06 04:56:17,2026-06-23 12:00:00
10,worker-dr-use1-eks-00,worker,active,dr-use1-eks,2026-06-23 11:56:50,"{""version"":""1.4.2"",""queue_depth"":19,""load"":1.0}",2026-05-28 08:38:01,2026-06-23 12:00:00
