id,agent_id,agent_type,agent_layer,cluster_group,environment,status,last_heartbeat,uptime_seconds,messages_processed,predictions_made,escalations_sent,actions_executed,created_at,updated_at
1,worker-prod-use2-eks-00,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:40,2141074,128409,5096,2926,5996,2026-05-29 17:15:26,2026-06-23 12:00:00
2,worker-prod-use2-eks-01,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:40,1111993,277896,16448,1502,4340,2026-06-10 15:06:47,2026-06-23 12:00:00
3,worker-prod-use2-eks-02,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:57:25,758622,231745,18232,3427,7,2026-06-14 17:16:18,2026-06-23 12:00:00
4,worker-prod-use2-eks-03,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:55:50,2182810,90640,36122,3148,7948,2026-05-29 05:39:50,2026-06-23 12:00:00
5,worker-prod-use2-eks-04,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:56:38,808199,131696,22521,618,6193,2026-06-14 03:30:01,2026-06-23 12:00:00
6,worker-prod-use2-eks-05,worker,worker,prod-use2-eks,prod,active,2026-06-23 11:59:43,903897,458095,3853,2301,5293,2026-06-13 00:55:03,2026-06-23 12:00:00
7,cluster_manager-prod-use2-eks-00,cluster_manager,manager,prod-use2-eks,prod,stopped,2026-06-23 11:57:10,353362,432430,34379,96,1172,2026-06-19 09:50:38,2026-06-23 12:00:00
8,cluster_manager-prod-use2-eks-01,cluster_manager,manager,prod-use2-eks,prod,stopped,2026-06-23 11:58:56,267731,102775,39028,2454,3576,2026-06-20 09:37:49,2026-06-23 12:00:00
9,strategist-prod-use2-eks-00,strategist,strategist,prod-use2-eks,prod,degraded,2026-06-23 11:57:40,623101,66978,32652,739,4916,2026-06-16 06:54:59,2026-06-23 12:00:00
10,worker-prod-usw2-eks-00,worker,worker,prod-usw2-eks,prod,active,2026-06-23 11:56:35,2084067,98595,37108,1634,552,2026-05-30 09:05:33,2026-06-23 12:00:00
11,worker-prod-usw2-eks-01,worker,worker,prod-usw2-eks,prod,active,2026-06-23 11:58:15,2335434,307295,26416,332,6863,2026-05-27 11:16:06,2026-06-23 12:00:00
12,worker-prod-usw2-eks-02,worker,worker,prod-usw2-eks,prod,active,2026-06-23 11:58:03,1226043,193884,37732,3328,6679,2026-06-09 07:25:57,2026-06-23 12:00:00
13,worker-prod-usw2-eks-03,worker,worker,prod-usw2-eks,prod,active,2026-06-23 11:56:11,1006701,243519,4248,516,2091,2026-06-11 20:21:39,2026-06-23 12:00:00
14,worker-prod-usw2-eks-04,worker,worker,prod-usw2-eks,prod,active,2026-06-23 11:55:37,1733782,419455,23983,3767,3715,2026-06-03 10:23:38,2026-06-23 12:00:00
15,worker-prod-usw2-eks-05,worker,worker,prod-usw2-eks,prod,degraded,2026-06-23 11:55:17,1986370,357562,14089,1054,3464,2026-05-31 12:13:50,2026-06-23 12:00:00
16,cluster_manager-prod-usw2-eks-00,cluster_manager,manager,prod-usw2-eks,prod,degraded,2026-06-23 11:57:11,39901,123578,19207,940,933,2026-06-23 00:54:59,2026-06-23 12:00:00
17,cluster_manager-prod-usw2-eks-01,cluster_manager,manager,prod-usw2-eks,prod,degraded,2026-06-23 11:59:37,1336343,74259,39060,3113,7188,2026-06-08 00:47:37,2026-06-23 12:00:00
18,strategist-prod-usw2-eks-00,strategist,strategist,prod-usw2-eks,prod,stopped,2026-06-23 11:58:58,1296797,162895,10944,1624,4472,2026-06-08 11:46:43,2026-06-23 12:00:00
19,worker-staging-use2-eks-00,worker,worker,staging-use2-eks,staging,active,2026-06-23 11:57:35,879031,457095,30613,3957,6292,2026-06-13 07:49:29,2026-06-23 12:00:00
20,worker-staging-use2-eks-01,worker,worker,staging-use2-eks,staging,active,2026-06-23 11:58:20,2278858,114728,24341,3394,1187,2026-05-28 02:59:02,2026-06-23 12:00:00
21,worker-staging-use2-eks-02,worker,worker,staging-use2-eks,staging,active,2026-06-23 11:55:36,1631173,350066,7482,2822,7245,2026-06-04 14:53:47,2026-06-23 12:00:00
22,worker-staging-use2-eks-03,worker,worker,staging-use2-eks,staging,stopped,2026-06-23 11:58:54,2231889,304344,11809,3374,4822,2026-05-28 16:01:51,2026-06-23 12:00:00
23,worker-staging-use2-eks-04,worker,worker,staging-use2-eks,staging,active,2026-06-23 11:59:09,37057,24762,556,1845,3709,2026-06-23 01:42:23,2026-06-23 12:00:00
24,worker-staging-use2-eks-05,worker,worker,staging-use2-eks,staging,active,2026-06-23 11:55:15,700327,93522,38166,2070,6803,2026-06-15 09:27:53,2026-06-23 12:00:00
25,cluster_manager-staging-use2-eks-00,cluster_manager,manager,staging-use2-eks,staging,active,2026-06-23 11:56:33,2107928,394699,30515,3499,5931,2026-05-30 02:27:52,2026-06-23 12:00:00
26,cluster_manager-staging-use2-eks-01,cluster_manager,manager,staging-use2-eks,staging,stopped,2026-06-23 11:58:20,793315,210000,6264,821,3769,2026-06-14 07:38:05,2026-06-23 12:00:00
27,strategist-staging-use2-eks-00,strategist,strategist,staging-use2-eks,staging,active,2026-06-23 11:56:47,1296408,444895,35334,3735,305,2026-06-08 11:53:12,2026-06-23 12:00:00
