id,prediction_id,use_case_id,namespace,pod_name,cluster_name,gbm_prob,risk_level,delivered,channel,suppressed,suppress_reason,alerted_at
1,1,2,payments,payments-api-1ce3577-591ac,prod-use2-eks,0.6416,medium,true,slack,false,,2026-06-23 02:57:34
2,2,2,payments,payments-api-c9c2b74-00142,prod-use2-eks,0.8988,critical,true,pagerduty,false,,2026-06-23 06:36:34
3,3,14,checkout,checkout-web-2b77739-52fdd,staging-use2-eks,0.8591,critical,true,slack,false,,2026-06-23 10:21:03
4,4,2,payments,payments-api-7fa4649-debd8,prod-use2-eks,0.8035,high,true,email,false,,2026-06-22 18:02:13
5,5,5,checkout,cart-svc-ee38458-64d46,prod-usw2-eks,0.8698,critical,true,teams,false,,2026-06-02 18:00:05
6,6,4,orders,orders-api-21c5d48-15186,prod-usw2-eks,0.6245,medium,true,slack,false,,2026-06-22 04:36:30
7,8,10,checkout,cart-svc-527eb80-045c0,prod-use2-eks,0.8279,high,true,pagerduty,false,,2026-06-21 13:02:37
8,9,2,orders,orders-api-21c5d48-15186,prod-usw2-eks,0.9543,critical,true,teams,false,,2026-06-19 07:09:59
9,10,5,ledger,ledger-svc-842cd31-95bfa,prod-usw2-eks,0.7038,high,true,slack,false,,2026-06-19 00:58:26
10,11,5,kube-system,coredns-47d4438-c55d7,prod-use2-eks,0.8548,critical,true,email,false,,2026-06-08 18:17:45
11,13,5,checkout,cart-svc-0a94879-c1bba,prod-usw2-eks,0.9054,critical,true,pagerduty,false,,2026-06-22 23:12:10
12,14,2,orders,orders-api-cbca488-26609,prod-usw2-eks,0.6982,high,false,teams,true,duplicate within suppression window,2026-06-18 23:52:39
13,16,10,checkout,cart-svc-26a7d77-aafdc,prod-use2-eks,0.9618,critical,true,teams,false,,2026-06-21 11:36:31
14,17,2,orders,orders-api-cbca488-26609,prod-usw2-eks,0.7666,high,true,email,false,,2026-06-20 03:28:50
15,18,5,checkout,cart-svc-ee38458-64d46,prod-usw2-eks,0.6712,high,true,teams,false,,2026-06-07 17:37:08
16,19,2,identity,session-store-4732511-0dba8,prod-use2-eks,0.75,high,true,email,false,,2026-06-13 02:12:25
17,20,1,orders,orders-api-cbca488-26609,prod-usw2-eks,0.9372,critical,true,email,false,,2026-06-15 20:35:41
18,21,6,checkout,checkout-web-2b77739-52fdd,staging-use2-eks,0.6947,high,true,teams,false,,2026-06-22 17:53:20
19,22,13,kube-system,metrics-server-e2e6924-29c37,prod-use2-eks,0.8096,high,true,teams,false,,2026-06-22 18:49:20
20,23,3,notifications,notifications-1938743-28dca,prod-use2-eks,0.7551,high,false,pagerduty,true,duplicate within suppression window,2026-06-12 05:55:39
21,24,5,identity,session-store-d825e25-14f9f,prod-usw2-eks,0.7039,high,false,teams,true,duplicate within suppression window,2026-06-20 08:45:02
22,25,5,ledger,ledger-svc-2014124-29b88,prod-usw2-eks,0.8115,high,true,teams,false,,2026-06-15 02:08:13
23,26,5,search,search-api-8352074-5b766,prod-usw2-eks,0.8871,critical,true,pagerduty,false,,2026-06-18 13:22:56
24,27,5,orders,orders-worker-b907131-2627d,prod-usw2-eks,0.8361,high,true,pagerduty,false,,2026-06-20 09:01:03
25,29,1,inventory,inventory-svc-bf8f159-02345,prod-usw2-eks,0.9089,critical,true,slack,false,,2026-06-18 09:03:15
26,30,13,kube-system,coredns-37f1521-4cd3d,prod-usw2-eks,0.6772,high,true,email,false,,2026-06-20 14:05:11
27,31,10,payments,payments-api-58c5e74-26d34,prod-use2-eks,0.853,critical,false,pagerduty,true,duplicate within suppression window,2026-06-22 23:02:15
28,32,4,orders,orders-api-21c5d48-15186,prod-usw2-eks,0.9502,critical,true,email,false,,2026-06-17 12:43:58
29,33,8,identity,session-store-a097c68-649a1,staging-use2-eks,0.9379,critical,true,pagerduty,false,,2026-06-17 06:02:57
30,35,4,checkout,checkout-web-c2eb578-2d181,prod-use2-eks,0.9041,critical,true,teams,false,,2026-06-07 14:54:28
31,37,1,inventory,inventory-svc-bf8f159-02345,prod-usw2-eks,0.6344,medium,true,slack,false,,2026-06-14 01:35:03
32,38,5,search,search-api-8352074-5b766,prod-usw2-eks,0.6293,medium,true,teams,false,,2026-06-21 05:38:53
33,40,7,kube-system,coredns-37f1521-4cd3d,prod-usw2-eks,0.8881,critical,true,teams,false,,2026-06-20 02:52:46
34,42,5,search,search-api-be84964-d972c,dr-use1-eks,0.7922,high,true,teams,false,,2026-06-06 09:37:24
35,43,13,platform,config-svc-027a395-39a4d,prod-use2-eks,0.8077,high,true,teams,false,,2026-06-19 10:59:10
36,44,10,checkout,checkout-web-4263246-52f3a,dr-use1-eks,0.6932,high,true,email,false,,2026-06-21 13:04:39
37,45,5,orders,orders-worker-8482791-f2d9f,prod-usw2-eks,0.9401,critical,true,teams,false,,2026-06-18 06:52:08
38,46,1,payments,payments-api-1e23165-1e35b,prod-usw2-eks,0.8737,critical,false,teams,true,duplicate within suppression window,2026-06-11 15:24:55
39,47,5,identity,session-store-28ebc77-cf7c8,prod-usw2-eks,0.7866,high,true,teams,false,,2026-06-19 18:21:14
40,49,14,checkout,checkout-web-2b77739-52fdd,staging-use2-eks,0.6861,high,true,teams,false,,2026-06-22 19:55:12
41,50,5,search,search-api-be84964-d972c,dr-use1-eks,0.6406,medium,true,email,false,,2026-06-13 16:55:10
42,51,6,search,indexer-6af7422-f66fc,dr-use1-eks,0.6549,high,true,teams,false,,2026-05-29 10:21:04
43,52,10,orders,orders-api-bfb2f93-32ad3,prod-use2-eks,0.7447,high,true,slack,false,,2026-06-06 21:13:14
