id,pod_name,namespace,cluster_name,node_name,environment,jvm_heap_used,jvm_heap_max,jvm_metaspace_used,container_memory_usage,container_memory_limit,container_memory_rss,container_memory_working_set,memory_pressure,swap_usage,cpu_usage_percent,cpu_throttled_periods,gc_duration_seconds,gc_count,thread_count,thread_blocked_count,response_time_ms,network_latency_ms,packet_drops,tcp_connections,dns_resolution_time_ms,http_request_count,http_error_rate,fs_usage_bytes,fs_limit_bytes,io_wait_time_ms,disk_read_bytes,disk_write_bytes,pod_ready,restart_count,oom_events,health_check_failures,startup_time_seconds,security_violations,unauthorized_access_attempts,policy_violations,node_ready,node_memory_available,node_cpu_available,cluster_capacity_percent,collection_timestamp,created_at
1,payments-api-58c5e74-26d34,payments,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,prod,751619276,1717986918,83886080,1073741824,2147483648,912680550,1020054732,0.5,0,35.1,0,0.026754,27,198,0,44.94,17.98,0,26,6.7,62710,0.009,3985654,62914560,13.65,3282391,3156588,true,0,0,0,7.75,0,0,0,true,24696061952,18.82,72.15,2026-05-24 11:59:46,2026-05-24 11:59:46
2,payments-api-c9c2b74-00142,payments,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,prod,488479129,1116523724,83886080,697827328,1395654656,593153228,662935961,0.5,0,48.09,0,0.00876,36,82,0,98.66,39.47,0,99,21.85,17433,0.0025,19403046,62914560,9.32,3603281,7364631,true,0,0,0,10.16,0,0,0,true,12884901888,73.36,81.26,2026-05-24 11:59:46,2026-05-24 11:59:46
3,payments-api-1ce3577-591ac,payments,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,prod,751619276,1717986918,83886080,1073741824,2147483648,912680550,1020054732,0.5,0,37.42,0,0.022871,63,95,0,107.56,43.02,0,318,18.5,76389,0.0076,12888699,62914560,11.67,1626404,1223457,true,0,0,0,7.64,0,0,0,true,23622320128,71.36,48.16,2026-05-24 11:59:46,2026-05-24 11:59:46
4,payments-api-7fa4649-debd8,payments,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,prod,488479129,1116523724,83886080,697827328,1395654656,593153228,662935961,0.5,0,41.83,0,0.040934,5,195,0,110.76,44.3,0,189,7.01,86083,0.0041,18334343,62914560,6.69,3683771,8412028,true,0,0,0,7.86,0,0,0,true,8589934592,10.67,46.42,2026-05-24 11:59:46,2026-05-24 11:59:46
5,payments-worker-7a57672-86691,payments,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,prod,595610792,1288490188,83886080,850872560,1610612736,723241676,808328932,0.5283,0,43.31,0,0.017736,43,30,0,109.94,43.98,0,126,15.41,70993,0.0048,10111123,62914560,12.74,1675251,1708073,true,0,0,0,20.32,0,0,0,true,24696061952,75.6,77.86,2026-05-24 11:59:46,2026-05-24 11:59:46
6,payments-worker-6e38c94-75bbf,payments,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,prod,538936631,1288490188,83886080,769909473,1610612736,654423052,731413999,0.478,0,23.16,0,0.013227,22,157,0,72.23,28.89,0,49,17.02,79248,0.0054,10130482,62914560,2.2,4433428,6129798,true,0,0,0,28.74,0,0,0,true,13958643712,25.7,86.04,2026-05-24 11:59:46,2026-05-24 11:59:46
7,payments-worker-bff7264-02c23,payments,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,prod,646607014,1288490188,83886080,923724307,1610612736,785165660,877538091,0.5735,0,36.9,0,0.013744,16,101,0,83.53,33.41,0,316,17.64,3816,0.0009,28601222,62914560,10.72,3576122,206563,true,0,0,0,16.0,0,0,0,true,9663676416,58.68,58.37,2026-05-24 11:59:46,2026-05-24 11:59:46
8,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,prod,422785843,966367641,83886080,603979776,1207959552,513382809,573780787,0.5,0,21.14,0,0.040677,44,146,0,51.29,20.52,0,302,10.11,18278,0.0091,6962218,62914560,13.75,2826044,1757672,true,0,0,0,19.87,0,0,0,true,25769803776,15.98,89.83,2026-05-24 11:59:46,2026-05-24 11:59:46
9,orders-api-7f89525-97cdd,orders,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,prod,366267596,837183078,83886080,523239424,1046478848,444753510,497077452,0.5,0,39.24,0,0.047818,21,36,0,115.42,46.17,0,50,15.34,5347,0.0078,4213258,62914560,8.07,4027098,8328535,true,0,0,0,27.85,0,0,0,true,6442450944,58.18,85.98,2026-05-24 11:59:46,2026-05-24 11:59:46
10,orders-api-e9b4a39-c3784,orders,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,prod,366267596,837183078,83886080,523239424,1046478848,444753510,497077452,0.5,0,36.93,0,0.047845,72,121,0,88.94,35.58,0,234,21.32,7503,0.0064,41150498,62914560,5.31,1798717,7025421,true,0,0,0,17.47,0,0,0,true,20401094656,74.75,75.03,2026-05-24 11:59:46,2026-05-24 11:59:46
