edge_id,dag_id,from_node_id,to_node_id,edge_type,condition_expression,condition_met,created_at,activated_at,data_transferred,transfer_size_bytes,metadata
edge-1fbd5194-73b,dag-76bc9fd8-95f,node-70833be6-3b1,node-33c2570e-8cb,CONTROL,risk>0.65,true,2026-06-23 05:54:04,2026-06-23 05:54:04,"{""bytes"":4587}",2334,"{""hop"":0}"
edge-d47b0734-d5c,dag-76bc9fd8-95f,node-33c2570e-8cb,node-036da83d-6fb,DATA_FLOW,action_required==true,true,2026-06-18 00:12:59,2026-06-18 00:12:59,"{""bytes"":166}",4950,"{""hop"":1}"
edge-4e4d7ec1-c87,dag-115fc06f-15d,node-fd8f4d48-460,node-0fbc29a2-b9b,DATA_FLOW,,true,2026-05-31 03:35:23,2026-05-31 03:35:23,"{""bytes"":3143}",1511,"{""hop"":0}"
edge-3bb61065-b00,dag-115fc06f-15d,node-0fbc29a2-b9b,node-0923f28f-520,CONTROL,,true,2026-05-30 08:37:27,2026-05-30 08:37:27,"{""bytes"":2331}",3217,"{""hop"":1}"
edge-d4160d21-c73,dag-115fc06f-15d,node-0923f28f-520,node-4be2faab-689,CONTROL,action_required==true,true,2026-06-19 18:10:39,2026-06-19 18:10:39,"{""bytes"":2119}",3019,"{""hop"":2}"
edge-a8ed5e10-a4d,dag-115fc06f-15d,node-4be2faab-689,node-c2c27953-4da,CONTROL,,true,2026-05-27 23:26:46,2026-05-27 23:26:46,"{""bytes"":758}",2343,"{""hop"":3}"
edge-3516690d-81f,dag-a43df2a1-883,node-0d8b40fa-5c8,node-e213a3c3-b59,DATA_FLOW,risk>0.65,true,2026-06-13 12:26:39,2026-06-13 12:26:39,"{""bytes"":3902}",292,"{""hop"":0}"
edge-fdd67b45-5c3,dag-a43df2a1-883,node-e213a3c3-b59,node-49fcd98d-e60,DATA_FLOW,,true,2026-06-14 17:30:38,2026-06-14 17:30:38,"{""bytes"":699}",699,"{""hop"":1}"
edge-03c6a3cb-0f5,dag-a43df2a1-883,node-49fcd98d-e60,node-ea53601f-608,CONTROL,sop_matched,true,2026-06-05 23:03:45,2026-06-05 23:03:45,"{""bytes"":2956}",1161,"{""hop"":2}"
edge-e4ac1c78-cbf,dag-a43df2a1-883,node-ea53601f-608,node-8f8a06cf-fc0,CONTROL,sop_matched,true,2026-06-07 02:52:15,2026-06-07 02:52:15,"{""bytes"":3269}",1662,"{""hop"":3}"
