node_id,dag_id,node_type,task_name,agent_name,agent_layer,status,created_at,started_at,completed_at,duration_ms,input_data,output_data,error_message,retry_count,max_retries,cpu_usage_ms,memory_usage_mb,metadata,updated_at
node-70833be6-3b1,dag-76bc9fd8-95f,action,match_sop,cluster_manager-staging-use2-eks-00,manager,RUNNING,2026-06-03 19:42:26,2026-06-03 19:42:26,,,"{""k"":0}","{""ok"":false}",,0,3,1509,390,"{""layer"":""manager""}",2026-06-23 12:00:00
node-33c2570e-8cb,dag-76bc9fd8-95f,task,evaluate_risk,worker-prod-usw2-eks-01,worker,RUNNING,2026-06-03 19:42:29,2026-06-03 19:42:29,,,"{""k"":1}","{""ok"":false}",,0,3,916,190,"{""layer"":""worker""}",2026-06-23 12:00:00
node-036da83d-6fb,dag-76bc9fd8-95f,task,verify_outcome,cluster_manager-dr-use1-eks-00,manager,COMPLETED,2026-06-03 19:42:32,2026-06-03 19:42:32,2026-06-03 19:42:39,7004,"{""k"":2}","{""ok"":true}",,0,3,3923,499,"{""layer"":""manager""}",2026-06-23 12:00:00
node-fd8f4d48-460,dag-115fc06f-15d,action,execute_action,worker-prod-use2-eks-05,worker,FAILED,2026-06-08 11:48:05,2026-06-08 11:48:05,2026-06-08 11:48:11,5330,"{""k"":0}","{""ok"":false}",exception,1,3,3096,135,"{""layer"":""worker""}",2026-06-23 12:00:00
node-0fbc29a2-b9b,dag-115fc06f-15d,action,verify_outcome,worker-staging-use2-eks-04,worker,RUNNING,2026-06-08 11:48:08,2026-06-08 11:48:08,,,"{""k"":1}","{""ok"":false}",,0,3,3848,230,"{""layer"":""worker""}",2026-06-23 12:00:00
node-0923f28f-520,dag-115fc06f-15d,decision,execute_action,worker-prod-usw2-eks-00,worker,RUNNING,2026-06-08 11:48:11,2026-06-08 11:48:11,,,"{""k"":2}","{""ok"":false}",,0,3,2540,376,"{""layer"":""worker""}",2026-06-23 12:00:00
node-4be2faab-689,dag-115fc06f-15d,io,evaluate_risk,worker-prod-use2-eks-03,worker,PENDING,2026-06-08 11:48:14,2026-06-08 11:48:14,,,"{""k"":3}","{""ok"":false}",,0,3,1363,119,"{""layer"":""worker""}",2026-06-23 12:00:00
node-c2c27953-4da,dag-115fc06f-15d,decision,evaluate_risk,worker-prod-use2-eks-05,worker,FAILED,2026-06-08 11:48:17,2026-06-08 11:48:17,2026-06-08 11:48:18,964,"{""k"":4}","{""ok"":false}",exception,2,3,540,500,"{""layer"":""worker""}",2026-06-23 12:00:00
node-0d8b40fa-5c8,dag-a43df2a1-883,decision,execute_action,worker-staging-use2-eks-03,worker,FAILED,2026-06-03 17:28:23,2026-06-03 17:28:23,2026-06-03 17:28:23,510,"{""k"":0}","{""ok"":false}",invalid input,1,3,3296,450,"{""layer"":""worker""}",2026-06-23 12:00:00
node-e213a3c3-b59,dag-a43df2a1-883,io,match_sop,worker-prod-usw2-eks-00,worker,FAILED,2026-06-03 17:28:26,2026-06-03 17:28:26,2026-06-03 17:28:33,6687,"{""k"":1}","{""ok"":false}",invalid input,1,3,428,295,"{""layer"":""worker""}",2026-06-23 12:00:00
