id,timestamp,source_kept,source_discarded,metric_name,pod_name,namespace,cluster_name,value_kept,value_discarded,count,created_at
1,2026-06-06 10:09:21,prometheus,prometheus,process_open_fds,checkout-web-0101b48-2b2af,checkout,prod-use2-eks,24739.384,25822.345,11,2026-06-23 12:00:00
2,2026-06-21 20:05:35,sysdig,cloudwatch,container_memory_working_set_bytes,inventory-svc-3e28589-98330,inventory,prod-use2-eks,64282.931,64523.984,16,2026-06-23 12:00:00
3,2026-05-28 05:03:27,prometheus,cloudwatch,go_gc_duration_seconds,config-svc-0f5b883-4b9e2,platform,dr-use1-eks,72099.671,72749.705,1,2026-06-23 12:00:00
4,2026-06-22 17:22:15,sysdig,prometheus,kube_pod_container_status_restarts_total,checkout-web-c343d41-6a8d2,checkout,prod-use2-eks,64681.904,65544.394,3,2026-06-23 12:00:00
5,2026-06-09 05:42:09,prometheus,cloudwatch,container_network_receive_bytes_total,checkout-web-2b77739-52fdd,checkout,staging-use2-eks,81823.949,87865.436,16,2026-06-23 12:00:00
6,2026-05-25 00:51:42,prometheus,cloudwatch,process_open_fds,payments-api-7fa4649-debd8,payments,prod-use2-eks,5269.802,5099.219,19,2026-06-23 12:00:00
7,2026-06-19 10:10:32,prometheus,prometheus,container_cpu_usage_seconds_total,config-svc-0f5b883-4b9e2,platform,dr-use1-eks,51804.412,56974.946,16,2026-06-23 12:00:00
8,2026-05-31 16:01:18,sysdig,cloudwatch,container_memory_rss,session-store-1ac5266-1ca26,identity,prod-use2-eks,83198.14,75904.877,19,2026-06-23 12:00:00
9,2026-06-23 11:27:36,prometheus,prometheus,http_request_duration_ms,checkout-web-6e9e217-a5c79,checkout,dr-use1-eks,36009.992,34438.631,3,2026-06-23 12:00:00
10,2026-05-26 19:01:42,sysdig,cloudwatch,http_request_duration_ms,orders-api-bfb2f93-32ad3,orders,prod-use2-eks,89810.418,85668.551,5,2026-06-23 12:00:00
11,2026-06-18 00:08:00,prometheus,prometheus,process_open_fds,ledger-svc-842cd31-95bfa,ledger,prod-usw2-eks,80494.955,82476.995,11,2026-06-23 12:00:00
12,2026-06-16 11:07:36,sysdig,prometheus,process_open_fds,image-resizer-7bb3c89-50e74,platform,prod-use2-eks,22102.48,23554.752,14,2026-06-23 12:00:00
13,2026-06-19 00:36:41,prometheus,cloudwatch,container_memory_working_set_bytes,config-svc-0f5b883-4b9e2,platform,dr-use1-eks,97475.388,89696.128,18,2026-06-23 12:00:00
14,2026-06-03 17:37:29,sysdig,prometheus,go_gc_duration_seconds,cart-svc-51c2594-4d271,checkout,prod-use2-eks,14814.644,14408.592,5,2026-06-23 12:00:00
15,2026-06-18 07:18:18,prometheus,prometheus,kube_pod_container_status_restarts_total,payments-api-2729261-453da,payments,staging-use2-eks,26126.685,24996.157,17,2026-06-23 12:00:00
16,2026-05-30 09:44:19,prometheus,prometheus,go_gc_duration_seconds,auth-gateway-ec6b034-0575b,identity,prod-use2-eks,67259.973,67573.326,4,2026-06-23 12:00:00
17,2026-06-20 16:15:38,sysdig,prometheus,http_requests_total,session-store-28ebc77-cf7c8,identity,prod-usw2-eks,70671.097,66723.523,3,2026-06-23 12:00:00
18,2026-05-25 08:45:19,sysdig,cloudwatch,container_memory_rss,checkout-web-6e9e217-a5c79,checkout,dr-use1-eks,50449.149,45681.589,18,2026-06-23 12:00:00
19,2026-06-05 11:55:16,sysdig,cloudwatch,container_memory_rss,orders-worker-f884840-8265c,orders,dr-use1-eks,32175.329,34859.978,5,2026-06-23 12:00:00
20,2026-06-18 14:54:53,sysdig,cloudwatch,tcp_established,coredns-b16ea15-07544,kube-system,staging-use2-eks,62924.733,65837.089,10,2026-06-23 12:00:00
