id,feedback_id,prediction_id,pod_name,environment,expert_username,expert_role,accuracy_rating,usefulness_rating,timing_rating,remediation_quality,actual_leak_occurred,actual_time_to_leak_seconds,action_taken,action_effective,prevented_outage,expert_comments,suggested_improvements,false_positive_reason,false_negative_reason,model_should_learn,confidence_adjustment,feedback_timestamp,created_at,feedback_notes
1,8fa5c34a-0027-0bef-2cdb-c745af037761,d69b615e-7f03-5c48-cbff-8241bda3434c,orders-api-cbca488-26609,prod,mpatel,sre-lead,3,5,5,2,false,,restarted pod,false,false,"Caught the leak ~20m early, gave us time to scale.",,"metric spike was a deploy, not a leak",,false,-0.14,2026-06-21 02:29:21,2026-06-23 12:00:00,follow-up in retro
2,dc1fd311-4776-e9b2-a670-014c2fc63b40,932276cd-f7c5-1814-4c04-04f55fda1303,checkout-web-aca9086-f5fe6,staging,rsingh,sre-lead,2,2,5,4,false,,restarted pod,true,false,"Spot-on, prevented an outage.",tune threshold for staging,,,true,0.13,2026-06-23 09:42:16,2026-06-23 12:00:00,
3,258ca665-7ef8-136f-fa69-f24cf8847d93,8212948e-f181-1c50-a313-ba7c32a99c11,session-store-28ebc77-cf7c8,prod,jkim,platform-eng,4,2,3,4,true,5254,drained node,true,true,"Caught the leak ~20m early, gave us time to scale.",add node-pressure feature,,,true,-0.18,2026-06-19 01:00:04,2026-06-23 12:00:00,
4,c9600368-7702-8817-3114-d2648c3a32c1,850a8040-b847-0b63-1144-e70b65cf4877,orders-api-bfb2f93-32ad3,prod,rsingh,sre-lead,5,5,3,2,true,939,restarted pod,true,true,Useful but timing was a bit late.,longer lookback window,,,true,-0.12,2026-06-14 06:40:51,2026-06-23 12:00:00,
5,2361dbbc-8b7b-aa75-6dc1-128d4656ce56,6cf9b1a4-1a6c-84b4-d1d6-23fa7709d457,image-resizer-7bb3c89-50e74,prod,mpatel,sre-lead,2,5,2,4,false,,raised memory limit,true,false,"Spot-on, prevented an outage.",tune threshold for staging,,,true,0.02,2026-06-23 14:33:58,2026-06-23 12:00:00,linked to INC-4983
6,0b88351e-4e3e-9eb0-838b-ce374a02cb4f,9aa64754-c2ea-54b2-e716-b3d06536010d,session-store-4732511-0dba8,prod,lwong,sre-oncall,5,5,2,2,true,7034,drained node,true,false,"Spot-on, prevented an outage.",,,,true,0.15,2026-06-18 18:41:07,2026-06-23 12:00:00,follow-up in retro
7,53dbc6f8-e187-e576-24c1-ea146b03a940,22449be7-1eb1-8da5-091e-87bffe185f44,session-store-1ac5266-1ca26,prod,lwong,sre-oncall,3,3,5,2,false,,drained node,true,false,"Caught the leak ~20m early, gave us time to scale.",add node-pressure feature,,,true,-0.08,2026-06-10 03:40:27,2026-06-23 12:00:00,linked to INC-4727
8,6f09af96-63ee-1af5-8a1a-e9507766ccf2,8913e10a-c82f-4fff-71ec-18bb050e6129,ledger-svc-1232e29-49ea1,prod,tgarcia,platform-eng,4,3,3,2,false,,raised memory limit,true,false,"Spot-on, prevented an outage.",,,,true,0.13,2026-06-20 03:38:57,2026-06-23 12:00:00,linked to INC-4875
9,f66a7b56-1c33-26d2-46fc-a48efb19ee96,00d60bd6-0895-b8d0-0cef-33277363be31,coredns-4a8b365-1d9fc,prod,jkim,platform-eng,4,5,2,5,true,1683,scaled deployment,true,true,Alert fired but pod self-recovered.,add node-pressure feature,,,true,-0.0,2026-06-22 20:25:29,2026-06-23 12:00:00,
10,2dc2730f-862f-31d6-b400-f68326d882fb,18b62bc6-ae39-ce7d-d964-9de7c859cfe7,payments-api-1e23165-1e35b,prod,achen,sre-oncall,5,4,2,3,true,2621,scaled deployment,true,true,Useful but timing was a bit late.,add node-pressure feature,,,true,-0.03,2026-05-29 02:14:59,2026-06-23 12:00:00,linked to INC-4235
11,17be334f-13a5-b669-4f36-bbd9b08c4ef2,6a577f5f-85b0-e6a8-0c44-82b7822ec5ae,coredns-e513a45-fb7bf,prod,achen,sre-oncall,5,3,3,4,true,1064,restarted pod,true,true,Alert fired but pod self-recovered.,tune threshold for staging,,,true,-0.14,2026-06-13 02:53:34,2026-06-23 12:00:00,
12,6dfab326-05d5-9ea6-8d12-54cb2dc6dae9,a537174f-f329-ff2c-0d68-400278b55863,search-api-d416b43-7cb20,dr,lwong,sre-oncall,5,3,5,3,true,2483,monitored,true,true,"Spot-on, prevented an outage.",longer lookback window,,,true,0.12,2026-06-22 12:09:11,2026-06-23 12:00:00,linked to INC-4054
13,60d73079-cab8-d281-7cd4-cb702abe55aa,bf47d44a-1d9c-17ad-01fe-86034afe95a2,ledger-svc-e00a046-6e2d6,dr,rsingh,sre-lead,5,2,2,5,false,,monitored,true,false,"Caught the leak ~20m early, gave us time to scale.",add node-pressure feature,,,true,0.1,2026-05-28 04:14:52,2026-06-23 12:00:00,linked to INC-4992
14,52a52cb4-3175-2564-b973-334092e9b553,c83baf16-3fda-f9ff-9b60-fcb2390f2580,checkout-web-c2eb578-2d181,prod,tgarcia,platform-eng,4,2,2,3,true,1719,drained node,false,true,"Caught the leak ~20m early, gave us time to scale.",add node-pressure feature,,,true,-0.03,2026-06-08 08:47:50,2026-06-23 12:00:00,linked to INC-4749
15,f182cb4a-6509-f2bf-a0bf-906c221c14bd,05c4547f-5b29-c407-8be6-3389e3ba0b18,coredns-4a8b365-1d9fc,prod,tgarcia,platform-eng,5,4,2,5,true,987,monitored,true,false,Accurate call on payments-api.,add node-pressure feature,,,true,-0.03,2026-06-20 08:04:25,2026-06-23 12:00:00,follow-up in retro
16,add97864-5f1b-31fd-8d9b-bf6db6b0daf9,036273d3-b553-c9ee-523f-bf58f4e019fe,notifications-1938743-28dca,prod,jkim,platform-eng,4,3,4,2,true,7085,monitored,true,false,Alert fired but pod self-recovered.,add node-pressure feature,,,true,-0.17,2026-06-07 08:13:46,2026-06-23 12:00:00,
17,ce6e5d88-9277-3091-7983-8aa305ac625c,e71b0c22-8bce-fa35-d727-d6473be2d143,search-api-15a6d76-12766,prod,rsingh,sre-lead,2,4,2,3,false,,restarted pod,false,false,Useful but timing was a bit late.,add node-pressure feature,"metric spike was a deploy, not a leak",,true,-0.03,2026-06-23 03:53:29,2026-06-23 12:00:00,follow-up in retro
18,af190fc3-c517-5491-2f1a-ecaa93825056,25d3d824-d8c0-ca1a-855c-7e455558d9ec,payments-api-423b015-b80bd,prod,achen,sre-oncall,4,3,4,5,true,2749,raised memory limit,true,false,Accurate call on payments-api.,tune threshold for staging,,,true,0.19,2026-06-23 00:22:01,2026-06-23 12:00:00,
19,77e25bba-25bb-d825-dfa2-a9285a40c3b8,d2773430-cce1-010e-bdbc-40fc0b0b1040,checkout-web-c2eb578-2d181,prod,lwong,sre-oncall,4,4,2,4,true,1648,restarted pod,true,false,"Caught the leak ~20m early, gave us time to scale.",add node-pressure feature,,,true,-0.04,2026-06-09 04:53:07,2026-06-23 12:00:00,follow-up in retro
20,26222013-45e7-0ca2-0638-31aa050d68c6,cb2d6a4e-a4b1-85c0-8448-8bdbc71471ca,coredns-37f1521-4cd3d,prod,tgarcia,platform-eng,4,5,5,4,true,4438,scaled deployment,true,true,Alert fired but pod self-recovered.,,,,true,0.06,2026-06-20 16:16:36,2026-06-23 12:00:00,linked to INC-4972
21,f0e82487-adaf-730e-b61c-ba5896e37a7c,1c035bb1-add1-ef95-0446-7fc74e257e6c,checkout-web-c2eb578-2d181,prod,tgarcia,platform-eng,5,4,3,5,true,1811,monitored,true,false,Alert fired but pod self-recovered.,tune threshold for staging,,,true,-0.03,2026-06-06 16:35:19,2026-06-23 12:00:00,follow-up in retro
22,7727a923-9347-7a28-32f8-6dfa84cf7b1a,49b39a0f-19d0-9687-bb5a-d483c2fcd087,checkout-web-2b77739-52fdd,staging,rsingh,sre-lead,5,2,4,5,true,5264,drained node,true,true,Accurate call on payments-api.,longer lookback window,,,true,0.17,2026-06-24 04:09:58,2026-06-23 12:00:00,
