id,cluster_name,node_name,ready_status,cpu_capacity,memory_capacity,pod_capacity,cpu_allocatable,memory_allocatable,pod_allocatable,collected_at
1,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,51,2026-05-24 12:00:17
2,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,54,2026-05-24 12:00:17
3,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,102,2026-05-24 12:00:17
4,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,true,16,128Gi,110,15200m,117Gi,102,2026-05-24 12:00:17
5,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,52,2026-05-24 12:00:17
6,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,106,2026-05-24 12:00:17
7,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,103,2026-05-24 12:00:17
8,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,55,2026-05-24 12:00:17
9,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,103,2026-05-24 12:00:17
10,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,103,2026-05-24 12:00:17
11,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,54,2026-05-24 12:00:17
12,prod-usw2-eks,ip-10-14-16-161.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,108,2026-05-24 12:00:17
13,staging-use2-eks,ip-10-20-108-255.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,104,2026-05-24 12:00:17
14,staging-use2-eks,ip-10-8-126-134.use2.compute.internal,true,32,128Gi,110,30400m,117Gi,102,2026-05-24 12:00:17
15,staging-use2-eks,ip-10-14-70-252.use2.compute.internal,true,8,32Gi,58,7600m,29Gi,56,2026-05-24 12:00:17
16,dr-use1-eks,ip-10-40-81-216.use1.compute.internal,true,32,128Gi,110,30400m,117Gi,107,2026-05-24 12:00:17
17,dr-use1-eks,ip-10-29-128-5.use1.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-24 12:00:17
18,dr-use1-eks,ip-10-21-57-150.use1.compute.internal,true,32,32Gi,110,30400m,29Gi,105,2026-05-24 12:00:17
19,prod-use2-eks,ip-10-40-57-12.use2.compute.internal,true,16,64Gi,58,15200m,58Gi,56,2026-05-24 21:00:19
20,prod-use2-eks,ip-10-6-44-216.use2.compute.internal,true,8,64Gi,58,7600m,58Gi,50,2026-05-24 21:00:19
21,prod-use2-eks,ip-10-32-13-101.use2.compute.internal,true,32,64Gi,110,30400m,58Gi,103,2026-05-24 21:00:19
22,prod-use2-eks,ip-10-37-142-3.use2.compute.internal,false,16,128Gi,110,15200m,117Gi,106,2026-05-24 21:00:19
23,prod-use2-eks,ip-10-17-79-110.use2.compute.internal,false,16,32Gi,58,15200m,29Gi,56,2026-05-24 21:00:19
24,prod-use2-eks,ip-10-24-49-183.use2.compute.internal,true,16,32Gi,110,15200m,29Gi,103,2026-05-24 21:00:19
25,prod-usw2-eks,ip-10-29-63-193.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,103,2026-05-24 21:00:19
26,prod-usw2-eks,ip-10-12-35-23.usw2.compute.internal,true,16,32Gi,58,15200m,29Gi,54,2026-05-24 21:00:19
27,prod-usw2-eks,ip-10-6-194-142.usw2.compute.internal,true,16,64Gi,110,15200m,58Gi,108,2026-05-24 21:00:19
28,prod-usw2-eks,ip-10-22-107-136.usw2.compute.internal,true,8,64Gi,110,7600m,58Gi,102,2026-05-24 21:00:19
29,prod-usw2-eks,ip-10-15-83-236.usw2.compute.internal,true,16,64Gi,58,15200m,58Gi,54,2026-05-24 21:00:19
