cache_key,cache_value,created_at,expires_at
mc:dr-use1-eks:search:search-api-be84964-d972c:container_memory_rss,"{""value"":19529.54,""ts"":""2026-06-23 07:54:28""}",2026-06-23 07:54:28,2026-06-23 07:59:28
mc:prod-use2-eks:kube-system:metrics-server-e2e6924-29c37:container_fs_usage_bytes,"{""value"":30974.78,""ts"":""2026-06-23 07:58:36""}",2026-06-23 07:58:36,2026-06-23 08:03:36
mc:prod-use2-eks:payments:payments-api-7fa4649-debd8:container_memory_working_set_bytes,"{""value"":53957.25,""ts"":""2026-06-23 09:53:50""}",2026-06-23 09:53:50,2026-06-23 09:58:50
mc:prod-use2-eks:checkout:checkout-web-c2eb578-2d181:container_fs_usage_bytes,"{""value"":57028.61,""ts"":""2026-06-23 07:02:23""}",2026-06-23 07:02:23,2026-06-23 07:07:23
mc:prod-use2-eks:orders:orders-api-e9b4a39-c3784:http_requests_total,"{""value"":21595.48,""ts"":""2026-06-23 10:18:44""}",2026-06-23 10:18:44,2026-06-23 10:23:44
mc:dr-use1-eks:notifications:notifications-b036879-82982:container_cpu_usage_seconds_total,"{""value"":21889.27,""ts"":""2026-06-23 11:48:47""}",2026-06-23 11:48:47,2026-06-23 11:53:47
mc:prod-usw2-eks:search:recommendation-87e3198-026ea:container_memory_working_set_bytes,"{""value"":98600.09,""ts"":""2026-06-23 11:30:42""}",2026-06-23 11:30:42,2026-06-23 11:35:42
mc:dr-use1-eks:search:indexer-6af7422-f66fc:container_cpu_usage_seconds_total,"{""value"":9478.29,""ts"":""2026-06-23 11:40:56""}",2026-06-23 11:40:56,2026-06-23 11:45:56
mc:prod-use2-eks:inventory:inventory-svc-df6d343-0a45b:container_memory_working_set_bytes,"{""value"":76863.11,""ts"":""2026-06-23 09:26:57""}",2026-06-23 09:26:57,2026-06-23 09:31:57
mc:prod-use2-eks:payments:payments-api-c9c2b74-00142:container_network_receive_bytes_total,"{""value"":77521.01,""ts"":""2026-06-23 10:19:52""}",2026-06-23 10:19:52,2026-06-23 10:24:52
mc:prod-use2-eks:identity:auth-gateway-7b28269-a7447:container_memory_working_set_bytes,"{""value"":62695.16,""ts"":""2026-06-23 08:21:39""}",2026-06-23 08:21:39,2026-06-23 08:26:39
mc:staging-use2-eks:search:search-api-1605640-8abaf:container_fs_usage_bytes,"{""value"":5731.7,""ts"":""2026-06-23 07:38:56""}",2026-06-23 07:38:56,2026-06-23 07:43:56
mc:prod-usw2-eks:notifications:notifications-b2aff41-e1772:http_requests_total,"{""value"":45512.25,""ts"":""2026-06-23 07:58:32""}",2026-06-23 07:58:32,2026-06-23 08:03:32
mc:prod-usw2-eks:ledger:ledger-svc-842cd31-95bfa:process_open_fds,"{""value"":33609.81,""ts"":""2026-06-23 11:13:11""}",2026-06-23 11:13:11,2026-06-23 11:18:11
mc:prod-use2-eks:ledger:ledger-svc-204e643-7d23b:process_open_fds,"{""value"":81825.63,""ts"":""2026-06-23 10:56:23""}",2026-06-23 10:56:23,2026-06-23 11:01:23
mc:prod-usw2-eks:payments:payments-api-1e23165-1e35b:kube_pod_container_status_restarts_total,"{""value"":55179.76,""ts"":""2026-06-23 06:13:16""}",2026-06-23 06:13:16,2026-06-23 06:18:16
mc:prod-use2-eks:search:search-api-4350294-dbefb:container_memory_rss,"{""value"":43062.42,""ts"":""2026-06-23 10:31:53""}",2026-06-23 10:31:53,2026-06-23 10:36:53
mc:prod-usw2-eks:search:search-api-db28570-d359e:go_gc_duration_seconds,"{""value"":50509.42,""ts"":""2026-06-23 06:24:30""}",2026-06-23 06:24:30,2026-06-23 06:29:30
mc:prod-use2-eks:payments:payments-api-1ce3577-591ac:process_open_fds,"{""value"":53686.44,""ts"":""2026-06-23 06:12:57""}",2026-06-23 06:12:57,2026-06-23 06:17:57
mc:prod-usw2-eks:platform:config-svc-370d832-a686a:container_memory_working_set_bytes,"{""value"":23117.57,""ts"":""2026-06-23 11:20:48""}",2026-06-23 11:20:48,2026-06-23 11:25:48
mc:prod-use2-eks:kube-system:coredns-47d4438-c55d7:http_request_duration_ms,"{""value"":96610.27,""ts"":""2026-06-23 09:07:38""}",2026-06-23 09:07:38,2026-06-23 09:12:38
mc:prod-usw2-eks:inventory:inventory-svc-4453f63-e15f3:tcp_established,"{""value"":35136.94,""ts"":""2026-06-23 09:32:53""}",2026-06-23 09:32:53,2026-06-23 09:37:53
mc:staging-use2-eks:checkout:checkout-web-2b77739-52fdd:container_cpu_usage_seconds_total,"{""value"":41730.84,""ts"":""2026-06-23 10:44:54""}",2026-06-23 10:44:54,2026-06-23 10:49:54
mc:prod-usw2-eks:search:indexer-b957537-8aa20:tcp_established,"{""value"":26673.27,""ts"":""2026-06-23 06:22:42""}",2026-06-23 06:22:42,2026-06-23 06:27:42
mc:dr-use1-eks:notifications:notifications-b036879-82982:http_request_duration_ms,"{""value"":50660.45,""ts"":""2026-06-23 09:47:08""}",2026-06-23 09:47:08,2026-06-23 09:52:08
mc:prod-usw2-eks:orders:orders-worker-0696c96-a62c8:container_fs_usage_bytes,"{""value"":25065.59,""ts"":""2026-06-23 09:04:22""}",2026-06-23 09:04:22,2026-06-23 09:09:22
mc:prod-use2-eks:orders:orders-worker-6ee3345-b0d20:http_requests_total,"{""value"":17892.48,""ts"":""2026-06-23 11:55:33""}",2026-06-23 11:55:33,2026-06-23 12:00:33
