id,time_bucket,cluster_name,namespace,pod_name,metric_name,avg_value,min_value,max_value,stddev_value,sample_count,percentile_95,percentile_99,created_at
1,2026-05-24 11:00:00,prod-use2-eks,identity,auth-gateway-ec6b034-0575b,container_memory_rss,4872.633,2923.58,8770.74,730.895,68,7308.95,8527.108,2026-05-24 11:59:51
2,2026-05-24 11:00:00,prod-usw2-eks,notifications,notifications-b2aff41-e1772,process_open_fds,1117.861,670.717,2012.15,167.679,31,1676.792,1956.257,2026-05-24 11:59:51
3,2026-05-24 11:00:00,prod-use2-eks,payments,payments-api-58c5e74-26d34,http_request_duration_ms,4604.371,2762.623,8287.869,690.656,106,6906.557,8057.65,2026-05-24 11:59:51
4,2026-05-24 11:00:00,staging-use2-eks,notifications,notifications-26e9347-44fc8,go_gc_duration_seconds,3801.376,2280.826,6842.477,570.206,98,5702.064,6652.408,2026-05-24 11:59:51
5,2026-05-24 11:00:00,prod-use2-eks,search,search-api-eff0684-a368a,container_cpu_usage_seconds_total,1845.35,1107.21,3321.63,276.802,67,2768.025,3229.362,2026-05-24 11:59:51
6,2026-05-24 11:00:00,prod-use2-eks,search,indexer-b07f520-eaf04,tcp_established,4713.648,2828.189,8484.567,707.047,90,7070.472,8248.884,2026-05-24 11:59:51
7,2026-05-24 11:00:00,prod-use2-eks,checkout,cart-svc-26a7d77-aafdc,tcp_established,2666.592,1599.955,4799.866,399.989,61,3999.888,4666.536,2026-05-24 11:59:51
8,2026-05-24 11:00:00,dr-use1-eks,platform,config-svc-0f5b883-4b9e2,http_request_duration_ms,1938.86,1163.316,3489.948,290.829,113,2908.29,3393.005,2026-05-24 11:59:51
9,2026-05-24 11:00:00,prod-use2-eks,ledger,ledger-svc-1232e29-49ea1,container_cpu_usage_seconds_total,2723.802,1634.281,4902.843,408.57,91,4085.702,4766.653,2026-05-24 11:59:51
10,2026-05-24 11:00:00,staging-use2-eks,kube-system,coredns-b16ea15-07544,container_memory_rss,4336.744,2602.047,7806.14,650.512,96,6505.116,7589.302,2026-05-24 11:59:51
11,2026-05-24 11:00:00,dr-use1-eks,inventory,inventory-svc-4ccbe67-9cbde,container_network_receive_bytes_total,876.599,525.959,1577.878,131.49,109,1314.898,1534.048,2026-05-24 11:59:51
12,2026-05-24 11:00:00,prod-use2-eks,identity,session-store-1ac5266-1ca26,go_gc_duration_seconds,1576.806,946.084,2838.251,236.521,111,2365.209,2759.411,2026-05-24 11:59:51
13,2026-05-24 11:00:00,prod-use2-eks,search,search-api-1271443-2f040,tcp_established,2994.755,1796.853,5390.559,449.213,51,4492.133,5240.822,2026-05-24 11:59:51
14,2026-05-24 11:00:00,prod-usw2-eks,search,recommendation-1e52697-e4756,container_memory_working_set_bytes,463.292,277.975,833.925,69.494,60,694.938,810.761,2026-05-24 11:59:51
15,2026-05-24 11:00:00,prod-usw2-eks,search,indexer-b957537-8aa20,container_cpu_usage_seconds_total,1805.109,1083.066,3249.197,270.766,103,2707.664,3158.941,2026-05-24 11:59:51
16,2026-05-24 11:00:00,staging-use2-eks,search,search-api-1605640-8abaf,container_cpu_usage_seconds_total,3541.587,2124.952,6374.856,531.238,34,5312.38,6197.777,2026-05-24 11:59:51
17,2026-05-24 11:00:00,prod-usw2-eks,checkout,checkout-web-c2b3638-fa6d0,container_memory_working_set_bytes,2061.813,1237.088,3711.264,309.272,58,3092.72,3608.173,2026-05-24 11:59:51
18,2026-05-24 11:00:00,prod-use2-eks,orders,orders-worker-06e2683-7270e,tcp_established,4995.267,2997.16,8991.481,749.29,41,7492.901,8741.718,2026-05-24 11:59:51
19,2026-05-24 11:00:00,prod-usw2-eks,orders,orders-api-402bb51-ad48f,container_fs_usage_bytes,2315.576,1389.346,4168.038,347.336,77,3473.365,4052.259,2026-05-24 11:59:51
20,2026-05-24 11:00:00,dr-use1-eks,ledger,ledger-svc-e00a046-6e2d6,container_memory_rss,2736.471,1641.883,4925.648,410.471,109,4104.706,4788.824,2026-05-24 11:59:51
21,2026-05-24 11:00:00,prod-use2-eks,ledger,ledger-svc-204e643-7d23b,container_network_receive_bytes_total,2397.352,1438.411,4315.233,359.603,95,3596.028,4195.366,2026-05-24 11:59:51
22,2026-05-24 11:00:00,prod-use2-eks,notifications,notifications-c882a21-88bb7,process_open_fds,3449.776,2069.865,6209.596,517.466,75,5174.664,6037.108,2026-05-24 11:59:51
23,2026-05-24 11:00:00,prod-use2-eks,payments,payments-api-7fa4649-debd8,container_cpu_usage_seconds_total,87.785,52.671,158.012,13.168,88,131.677,153.623,2026-05-24 11:59:51
24,2026-05-24 11:00:00,prod-use2-eks,orders,orders-api-7f89525-97cdd,http_request_duration_ms,4636.648,2781.989,8345.967,695.497,42,6954.972,8114.134,2026-05-24 11:59:51
25,2026-05-24 11:00:00,prod-use2-eks,checkout,cart-svc-527eb80-045c0,container_fs_usage_bytes,3863.26,2317.956,6953.869,579.489,86,5794.891,6760.706,2026-05-24 11:59:51
26,2026-05-24 11:00:00,prod-usw2-eks,platform,image-resizer-6542c92-1100b,tcp_established,76.393,45.836,137.507,11.459,66,114.589,133.687,2026-05-24 11:59:51
27,2026-05-24 11:00:00,prod-usw2-eks,identity,auth-gateway-fb1c283-81cc8,container_cpu_usage_seconds_total,1434.671,860.802,2582.407,215.201,69,2152.006,2510.674,2026-05-24 11:59:51
28,2026-05-24 11:00:00,prod-use2-eks,search,search-api-61d1d17-0014f,container_network_receive_bytes_total,4159.724,2495.834,7487.503,623.959,102,6239.586,7279.517,2026-05-24 11:59:51
29,2026-05-24 11:00:00,prod-usw2-eks,checkout,cart-svc-882ca58-64a75,tcp_established,3458.536,2075.122,6225.365,518.78,57,5187.804,6052.438,2026-05-24 11:59:51
30,2026-05-24 11:00:00,prod-use2-eks,identity,session-store-4732511-0dba8,tcp_established,3028.181,1816.908,5450.725,454.227,75,4542.271,5299.316,2026-05-24 11:59:51
31,2026-05-25 03:00:00,dr-use1-eks,search,search-api-d416b43-7cb20,http_requests_total,1011.109,606.666,1819.997,151.666,90,1516.664,1769.442,2026-05-25 03:00:28
32,2026-05-25 03:00:00,prod-usw2-eks,payments,payments-worker-1d1bf52-dff66,container_memory_working_set_bytes,835.054,501.032,1503.097,125.258,82,1252.581,1461.345,2026-05-25 03:00:28
33,2026-05-25 03:00:00,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,container_network_receive_bytes_total,2520.333,1512.2,4536.6,378.05,53,3780.5,4410.584,2026-05-25 03:00:28
34,2026-05-25 03:00:00,prod-usw2-eks,search,indexer-b957537-8aa20,http_request_duration_ms,3707.161,2224.297,6672.89,556.074,54,5560.742,6487.532,2026-05-25 03:00:28
35,2026-05-25 03:00:00,prod-usw2-eks,payments,payments-api-b9a1287-dbbfe,http_request_duration_ms,2247.598,1348.559,4045.677,337.14,115,3371.397,3933.297,2026-05-25 03:00:28
36,2026-05-25 03:00:00,prod-usw2-eks,orders,orders-worker-8482791-f2d9f,container_fs_usage_bytes,2200.678,1320.407,3961.221,330.102,90,3301.017,3851.187,2026-05-25 03:00:28
37,2026-05-25 03:00:00,dr-use1-eks,orders,orders-api-8330e48-f22f4,container_cpu_usage_seconds_total,4561.785,2737.071,8211.213,684.268,108,6842.678,7983.124,2026-05-25 03:00:28
38,2026-05-25 03:00:00,prod-usw2-eks,identity,auth-gateway-ebb2b70-575e4,http_requests_total,4921.18,2952.708,8858.124,738.177,85,7381.77,8612.065,2026-05-25 03:00:28
39,2026-05-25 03:00:00,prod-use2-eks,platform,image-resizer-7bb3c89-50e74,tcp_established,2759.417,1655.65,4966.951,413.913,83,4139.126,4828.98,2026-05-25 03:00:28
40,2026-05-25 03:00:00,staging-use2-eks,platform,config-svc-929cd33-16be4,container_memory_working_set_bytes,487.866,292.719,878.158,73.18,89,731.798,853.765,2026-05-25 03:00:28
