id,metric_name,metric_value,unit,cluster_name,namespace,pod_name,container_name,timestamp,metadata,node_name,source
1,container_memory_rss,251743.576,cores,prod-usw2-eks,platform,image-resizer-6542c92-1100b,image-resizer,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-15-83-236.usw2.compute.internal,sysdig
2,container_memory_working_set_bytes,197740.091,cores,dr-use1-eks,search,indexer-6af7422-f66fc,indexer,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-21-57-150.use1.compute.internal,sysdig
3,container_memory_working_set_bytes,99613.619,count,prod-usw2-eks,search,search-api-15a6d76-12766,search-api,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-6-194-142.usw2.compute.internal,sysdig
4,http_request_duration_ms,501322.97,bytes,prod-use2-eks,search,indexer-4680271-0a829,indexer,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-17-79-110.use2.compute.internal,sysdig
5,container_network_receive_bytes_total,399458.773,ms,prod-use2-eks,identity,session-store-4732511-0dba8,session-store,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-17-79-110.use2.compute.internal,prometheus
6,tcp_established,165694.3,count,prod-use2-eks,inventory,inventory-svc-df6d343-0a45b,inventory-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-32-13-101.use2.compute.internal,sysdig
7,container_memory_working_set_bytes,610941.224,count,prod-use2-eks,platform,image-resizer-7bb3c89-50e74,image-resizer,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-37-142-3.use2.compute.internal,prometheus
8,container_memory_working_set_bytes,35225.95,ms,dr-use1-eks,orders,orders-api-8330e48-f22f4,orders-api,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-29-128-5.use1.compute.internal,sysdig
9,container_cpu_usage_seconds_total,85145.797,ms,prod-use2-eks,identity,auth-gateway-7b28269-a7447,auth-gateway,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-37-142-3.use2.compute.internal,prometheus
10,go_gc_duration_seconds,948943.027,count,prod-usw2-eks,payments,payments-api-6c2b997-3e07d,payments-api,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-15-83-236.usw2.compute.internal,prometheus
11,go_gc_duration_seconds,882680.588,cores,prod-usw2-eks,identity,auth-gateway-fb1c283-81cc8,auth-gateway,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-14-16-161.usw2.compute.internal,prometheus
12,container_cpu_usage_seconds_total,275127.5,count,prod-use2-eks,payments,payments-worker-bff7264-02c23,payments-worker,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-17-79-110.use2.compute.internal,sysdig
13,container_memory_rss,717894.76,cores,prod-usw2-eks,inventory,inventory-svc-0d33458-c137f,inventory-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-15-83-236.usw2.compute.internal,sysdig
14,http_request_duration_ms,707764.873,ms,staging-use2-eks,payments,payments-api-2729261-453da,payments-api,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-20-108-255.use2.compute.internal,sysdig
15,kube_pod_container_status_restarts_total,910499.937,bytes,prod-use2-eks,search,search-api-1271443-2f040,search-api,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-37-142-3.use2.compute.internal,sysdig
16,go_gc_duration_seconds,580737.587,count,prod-use2-eks,platform,config-svc-ddd1723-06ca5,config-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-24-49-183.use2.compute.internal,sysdig
17,container_cpu_usage_seconds_total,161604.184,ms,prod-usw2-eks,checkout,cart-svc-882ca58-64a75,cart-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-6-194-142.usw2.compute.internal,sysdig
18,container_memory_working_set_bytes,452371.679,ms,prod-usw2-eks,orders,orders-api-cbca488-26609,orders-api,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-12-35-23.usw2.compute.internal,prometheus
19,container_memory_working_set_bytes,417670.233,cores,staging-use2-eks,checkout,checkout-web-2b77739-52fdd,checkout-web,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-8-126-134.use2.compute.internal,sysdig
20,container_memory_rss,793497.169,ms,staging-use2-eks,inventory,inventory-svc-1d6f570-1b50d,inventory-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-8-126-134.use2.compute.internal,prometheus
21,tcp_established,333281.934,bytes,prod-use2-eks,checkout,checkout-web-47df111-4e24c,checkout-web,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-40-57-12.use2.compute.internal,sysdig
22,process_open_fds,464760.975,count,prod-use2-eks,ledger,ledger-svc-1232e29-49ea1,ledger-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-24-49-183.use2.compute.internal,sysdig
23,container_cpu_usage_seconds_total,439971.154,cores,dr-use1-eks,checkout,cart-svc-da3cf51-00806,cart-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-29-128-5.use1.compute.internal,prometheus
24,container_memory_rss,14388.817,ms,prod-use2-eks,search,recommendation-c460126-52814,recommendation,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-37-142-3.use2.compute.internal,prometheus
25,container_cpu_usage_seconds_total,913455.32,ms,prod-usw2-eks,identity,session-store-28ebc77-cf7c8,session-store,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-14-16-161.usw2.compute.internal,prometheus
26,kube_pod_container_status_restarts_total,505568.127,cores,prod-usw2-eks,inventory,inventory-svc-4453f63-e15f3,inventory-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-22-107-136.usw2.compute.internal,prometheus
27,container_memory_rss,705980.89,cores,prod-use2-eks,orders,orders-worker-6ee3345-b0d20,orders-worker,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-6-44-216.use2.compute.internal,prometheus
28,container_cpu_usage_seconds_total,199287.957,count,prod-usw2-eks,payments,payments-api-b9a1287-dbbfe,payments-api,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-22-107-136.usw2.compute.internal,prometheus
29,tcp_established,951927.309,cores,prod-use2-eks,identity,auth-gateway-9bddb17-f3d59,auth-gateway,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-40-57-12.use2.compute.internal,prometheus
30,container_memory_rss,659699.556,cores,prod-usw2-eks,platform,config-svc-d193d56-68bd9,config-svc,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-22-107-136.usw2.compute.internal,sysdig
31,go_gc_duration_seconds,444294.071,bytes,prod-usw2-eks,checkout,checkout-web-c2b3638-fa6d0,checkout-web,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-22-107-136.usw2.compute.internal,prometheus
32,http_requests_total,56923.141,cores,staging-use2-eks,identity,auth-gateway-41b4f33-14ef9,auth-gateway,2026-05-24 12:00:09,"{""unit_hint"":""prom"",""scrape"":""30s""}",ip-10-14-70-252.use2.compute.internal,prometheus
