id,pattern_type,pattern_name,cluster_name,namespace,signature_vector,confidence,occurrence_count,first_seen,last_seen,metadata,created_at
1,crashloop,orders-worker-rampup,prod-usw2-eks,orders,"[0.292,0.949,0.719,0.108,0.76,0.388,0.184,0.53,0.906,0.304,0.064,0.709]",0.8599,197,2026-05-17 21:11:19,2026-06-15 19:13:16,"{""svc"":""orders-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
2,latency,cart-svc-rampup,prod-usw2-eks,checkout,"[0.739,0.924,0.285,0.695,0.672,0.94,0.584,0.067,0.32,0.127,0.56,0.889]",0.6993,40,2026-05-10 00:53:23,2026-06-13 09:53:17,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
3,crashloop,auth-gateway-sawtooth,prod-usw2-eks,identity,"[0.781,0.362,0.58,0.565,0.338,0.821,0.697,0.193,0.474,0.186,0.037,0.723]",0.5594,130,2026-05-22 09:48:32,2026-06-11 17:04:01,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
4,cpu_spike,indexer-plateau,prod-usw2-eks,search,"[0.371,0.282,0.76,0.552,0.668,0.509,0.249,0.187,0.157,0.821,0.789,0.435]",0.8229,160,2026-04-27 10:36:35,2026-06-05 20:19:22,"{""svc"":""indexer"",""scenario"":""healthy""}",2026-06-23 12:00:00
5,oom,orders-api-sawtooth,prod-usw2-eks,orders,"[0.732,0.937,0.007,0.628,0.117,0.805,0.599,0.879,0.868,0.555,0.532,0.577]",0.6349,30,2026-05-06 20:33:06,2026-06-20 23:05:53,"{""svc"":""orders-api"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
6,crashloop,metrics-server-sawtooth,prod-usw2-eks,kube-system,"[0.3,0.781,0.966,0.54,0.4,0.613,0.875,0.523,0.86,0.708,0.373,0.799]",0.5063,176,2026-05-05 16:21:56,2026-06-21 10:39:12,"{""svc"":""metrics-server"",""scenario"":""node_pressure""}",2026-06-23 12:00:00
7,oom,orders-api-spike,dr-use1-eks,orders,"[0.457,0.386,0.717,0.337,0.194,0.392,0.383,0.858,0.772,0.304,0.223,0.899]",0.5409,40,2026-05-03 13:59:56,2026-06-19 13:15:24,"{""svc"":""orders-api"",""scenario"":""network_latency""}",2026-06-23 12:00:00
8,oom,notifications-rampup,prod-usw2-eks,notifications,"[0.699,0.823,0.126,0.559,0.204,0.52,0.331,0.614,0.464,0.851,0.713,0.064]",0.5592,152,2026-04-25 09:46:21,2026-06-11 16:40:51,"{""svc"":""notifications"",""scenario"":""healthy""}",2026-06-23 12:00:00
9,latency,orders-api-sawtooth,prod-use2-eks,orders,"[0.051,0.475,0.437,0.939,0.575,0.056,0.57,0.728,0.711,0.028,0.117,0.95]",0.5605,91,2026-05-08 22:03:55,2026-06-15 21:59:00,"{""svc"":""orders-api"",""scenario"":""memory_leak""}",2026-06-23 12:00:00
10,memory_leak,config-svc-rampup,prod-usw2-eks,platform,"[0.94,0.965,0.909,0.631,0.357,0.957,0.947,0.814,0.157,0.648,0.531,0.551]",0.8973,169,2026-05-02 20:48:52,2026-06-11 23:28:56,"{""svc"":""config-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
11,latency,payments-worker-rampup,prod-usw2-eks,payments,"[0.757,0.495,0.606,0.859,0.846,0.549,0.978,0.465,0.215,0.491,0.646,0.573]",0.7445,180,2026-05-08 13:05:32,2026-06-22 04:02:17,"{""svc"":""payments-worker"",""scenario"":""oom_crashloop""}",2026-06-23 12:00:00
12,oom,recommendation-sawtooth,staging-use2-eks,search,"[0.722,0.075,0.169,0.816,0.143,0.508,0.084,0.325,0.707,0.383,0.125,0.519]",0.7867,108,2026-05-12 19:42:37,2026-05-25 02:10:40,"{""svc"":""recommendation"",""scenario"":""healthy""}",2026-06-23 12:00:00
13,cpu_spike,inventory-svc-rampup,prod-use2-eks,inventory,"[0.817,0.851,0.184,0.261,0.466,0.75,0.582,0.122,0.883,0.687,0.565,0.083]",0.9622,134,2026-04-27 01:16:41,2026-06-09 00:03:15,"{""svc"":""inventory-svc"",""scenario"":""healthy""}",2026-06-23 12:00:00
14,oom,cart-svc-plateau,prod-usw2-eks,checkout,"[0.981,0.347,0.224,0.551,0.122,0.95,0.752,0.423,0.58,0.026,0.741,0.107]",0.6299,160,2026-04-24 19:38:10,2026-06-22 15:20:17,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
15,cpu_spike,cart-svc-spike,prod-usw2-eks,checkout,"[0.805,0.994,0.439,0.201,0.737,0.805,0.817,0.545,0.951,0.613,0.884,0.331]",0.7183,109,2026-05-05 12:08:12,2026-05-28 12:15:33,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
16,oom,search-api-rampup,staging-use2-eks,search,"[0.029,0.819,0.389,0.925,0.361,0.518,0.07,0.685,0.251,0.311,0.893,0.705]",0.5276,63,2026-05-04 09:32:27,2026-06-06 00:15:23,"{""svc"":""search-api"",""scenario"":""network_latency""}",2026-06-23 12:00:00
17,memory_leak,auth-gateway-spike,prod-use2-eks,identity,"[0.47,0.804,0.208,0.139,0.783,0.784,0.647,0.944,0.422,0.693,0.333,0.004]",0.8096,57,2026-05-17 15:37:06,2026-05-26 07:26:45,"{""svc"":""auth-gateway"",""scenario"":""healthy""}",2026-06-23 12:00:00
18,oom,payments-worker-spike,prod-usw2-eks,payments,"[0.234,0.624,0.839,0.637,0.699,0.685,0.062,0.878,0.096,0.847,0.906,0.223]",0.7806,153,2026-05-08 04:22:32,2026-06-22 05:02:47,"{""svc"":""payments-worker"",""scenario"":""healthy""}",2026-06-23 12:00:00
19,latency,search-api-rampup,dr-use1-eks,search,"[0.556,0.565,0.713,0.923,0.995,0.638,0.52,0.916,0.519,0.452,0.447,0.134]",0.7409,133,2026-05-02 07:08:07,2026-06-10 03:40:27,"{""svc"":""search-api"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
20,latency,ledger-svc-spike,prod-use2-eks,ledger,"[0.217,0.662,0.843,0.442,0.979,0.089,0.23,0.39,0.847,0.273,0.475,0.785]",0.5277,35,2026-04-25 16:56:12,2026-05-30 19:02:56,"{""svc"":""ledger-svc"",""scenario"":""cpu_throttle""}",2026-06-23 12:00:00
21,latency,cart-svc-rampup,prod-usw2-eks,checkout,"[0.336,0.356,0.599,0.059,0.772,0.201,0.126,0.216,0.418,0.229,0.534,0.946]",0.729,52,2026-04-26 15:58:28,2026-06-12 13:53:35,"{""svc"":""cart-svc"",""scenario"":""disk_pressure""}",2026-06-23 12:00:00
