id,pod_name,namespace,cluster_name,metric_name,mean_value,stddev_value,p95_value,min_value,max_value,sample_count,window_days,computed_at
1,payments-api-58c5e74-26d34,payments,prod-use2-eks,container_memory_working_set_bytes,945.286,113.434,1323.4,472.643,1796.043,1607,7,2026-06-23 09:52:24
2,payments-api-58c5e74-26d34,payments,prod-use2-eks,container_cpu_usage_seconds_total,4915.646,589.878,6881.905,2457.823,9339.728,625,7,2026-06-21 20:42:11
3,payments-api-58c5e74-26d34,payments,prod-use2-eks,container_memory_rss,1658.675,199.041,2322.145,829.337,3151.482,598,7,2026-06-22 04:14:05
4,payments-api-58c5e74-26d34,payments,prod-use2-eks,kube_pod_container_status_restarts_total,1566.884,188.026,2193.638,783.442,2977.08,2809,7,2026-06-22 02:29:29
5,payments-api-58c5e74-26d34,payments,prod-use2-eks,http_request_duration_ms,637.469,76.496,892.457,318.735,1211.191,3198,7,2026-06-21 21:14:38
6,payments-api-58c5e74-26d34,payments,prod-use2-eks,http_requests_total,2964.786,355.774,4150.7,1482.393,5633.093,1525,7,2026-06-22 19:21:17
7,payments-api-58c5e74-26d34,payments,prod-use2-eks,container_fs_usage_bytes,429.289,51.515,601.004,214.644,815.648,949,7,2026-06-23 10:48:15
8,payments-api-58c5e74-26d34,payments,prod-use2-eks,container_network_receive_bytes_total,1199.325,143.919,1679.055,599.663,2278.718,3776,7,2026-06-21 18:09:42
9,payments-api-58c5e74-26d34,payments,prod-use2-eks,go_gc_duration_seconds,835.286,100.234,1169.401,417.643,1587.044,4637,7,2026-06-21 13:45:20
10,payments-api-58c5e74-26d34,payments,prod-use2-eks,process_open_fds,3869.132,464.296,5416.785,1934.566,7351.351,2296,7,2026-06-21 13:58:13
11,payments-api-58c5e74-26d34,payments,prod-use2-eks,tcp_established,4745.201,569.424,6643.282,2372.601,9015.883,3870,7,2026-06-21 22:18:44
12,payments-api-c9c2b74-00142,payments,prod-use2-eks,container_memory_working_set_bytes,2187.653,262.518,3062.714,1093.826,4156.54,2121,7,2026-06-21 19:49:47
13,payments-api-c9c2b74-00142,payments,prod-use2-eks,container_cpu_usage_seconds_total,4602.278,552.273,6443.189,2301.139,8744.328,2955,7,2026-06-22 09:14:36
14,payments-api-c9c2b74-00142,payments,prod-use2-eks,container_memory_rss,4557.836,546.94,6380.971,2278.918,8659.889,3886,7,2026-06-21 18:28:57
15,payments-api-c9c2b74-00142,payments,prod-use2-eks,kube_pod_container_status_restarts_total,1762.073,211.449,2466.902,881.036,3347.938,3855,7,2026-06-23 08:21:27
16,payments-api-c9c2b74-00142,payments,prod-use2-eks,http_request_duration_ms,590.872,70.905,827.221,295.436,1122.657,610,7,2026-06-23 06:02:10
