id,query_name,status,result_count,sample_data,tested_at
1,cpu_usage,success,390,"{""sample"":[51141.2,87754.86,33340.94]}",2026-06-19 20:04:40
2,cpu_usage,error,0,"{""sample"":[58849.53,49885.65,65989.8]}",2026-06-20 04:44:43
3,cpu_usage,success,257,"{""sample"":[16129.35,83755.03,38642.14]}",2026-05-25 11:03:25
4,http_5xx,success,296,"{""sample"":[93805.2,58486.6,74679.66]}",2026-06-03 06:11:43
5,net_latency,success,26,"{""sample"":[23310.75,4593.93,76562.98]}",2026-06-03 12:43:33
6,restart_total,success,333,"{""sample"":[8963.22,45618.87,56879.82]}",2026-06-01 10:55:09
7,cpu_usage,success,274,"{""sample"":[52718.97,35740.52,54361.88]}",2026-06-05 13:17:18
8,cpu_usage,timeout,0,"{""sample"":[34493.96,16227.33,37173.28]}",2026-06-15 07:32:20
9,restart_total,success,492,"{""sample"":[42568.69,25512.67,26506.77]}",2026-06-14 05:03:55
10,net_latency,success,31,"{""sample"":[42613.03,77712.35,75882.51]}",2026-06-20 11:17:21
11,net_latency,no_data,0,"{""sample"":[71290.77,75253.05,82864.93]}",2026-05-24 22:53:50
12,restart_total,success,200,"{""sample"":[96725.82,77434.36,91892.66]}",2026-05-31 02:55:03
13,mem_working_set,timeout,0,"{""sample"":[29856.92,15241.7,60096.58]}",2026-06-15 09:11:49
14,restart_total,success,474,"{""sample"":[12949.61,37468.6,28888.09]}",2026-05-26 09:58:59
15,mem_working_set,error,0,"{""sample"":[55145.26,86673.34,64509.48]}",2026-06-10 03:41:43
16,mem_working_set,success,391,"{""sample"":[64772.63,81616.72,89007.75]}",2026-05-28 22:14:16
17,cpu_usage,success,299,"{""sample"":[80307.28,44254.0,41620.24]}",2026-06-06 00:54:56
18,mem_working_set,success,464,"{""sample"":[8584.31,15157.94,86973.65]}",2026-06-04 01:25:26
19,http_5xx,success,19,"{""sample"":[94951.05,61571.92,65477.43]}",2026-06-19 11:56:39
20,cpu_usage,success,392,"{""sample"":[77324.42,53545.61,98446.6]}",2026-06-11 10:40:05
21,net_latency,success,387,"{""sample"":[92949.24,21980.94,63870.53]}",2026-05-29 21:04:05
22,cpu_usage,success,97,"{""sample"":[60265.23,45887.48,21887.39]}",2026-06-13 08:44:19
23,net_latency,success,473,"{""sample"":[54991.6,52708.56,78866.05]}",2026-06-16 17:47:43
24,http_5xx,success,24,"{""sample"":[82643.84,78748.32,44931.89]}",2026-06-03 07:31:51
25,restart_total,success,110,"{""sample"":[17631.32,87071.22,91256.61]}",2026-06-13 23:14:28
26,mem_working_set,success,184,"{""sample"":[11357.27,24004.9,50266.55]}",2026-05-25 06:16:08
27,mem_working_set,success,281,"{""sample"":[20890.02,14628.1,51935.06]}",2026-06-01 15:53:53
28,cpu_usage,success,434,"{""sample"":[5181.68,44298.89,55631.38]}",2026-06-18 03:45:46
29,mem_working_set,success,118,"{""sample"":[84569.22,76841.17,2221.69]}",2026-06-01 12:11:27
30,mem_working_set,success,439,"{""sample"":[62016.62,76511.3,34381.79]}",2026-06-07 01:04:20
31,mem_working_set,success,77,"{""sample"":[78791.76,83765.47,92316.02]}",2026-06-17 09:33:11
32,http_5xx,success,372,"{""sample"":[78892.06,50110.09,45071.13]}",2026-06-16 22:48:41
33,restart_total,success,249,"{""sample"":[47894.7,24933.56,43054.26]}",2026-06-11 06:24:24
34,http_5xx,success,59,"{""sample"":[3607.17,10495.09,2174.23]}",2026-05-25 14:01:32
35,restart_total,success,185,"{""sample"":[58484.76,27660.3,19194.74]}",2026-06-09 17:05:07
36,http_5xx,success,221,"{""sample"":[40795.65,19631.31,18023.31]}",2026-05-30 06:00:39
37,restart_total,success,281,"{""sample"":[10537.56,68469.3,64019.12]}",2026-06-17 16:02:43
38,mem_working_set,success,340,"{""sample"":[70699.21,40009.06,89843.25]}",2026-06-08 04:56:03
39,http_5xx,success,303,"{""sample"":[71884.37,65619.99,36584.49]}",2026-06-18 07:34:46
40,cpu_usage,success,453,"{""sample"":[87676.14,16253.27,8046.85]}",2026-05-30 13:40:18
41,mem_working_set,success,50,"{""sample"":[37910.24,331.23,14111.32]}",2026-06-07 04:55:55
42,restart_total,success,386,"{""sample"":[62659.36,80690.66,51685.48]}",2026-06-19 08:51:23
43,http_5xx,success,188,"{""sample"":[79560.05,18023.8,12146.6]}",2026-06-20 17:22:11
44,http_5xx,success,352,"{""sample"":[74535.21,23710.28,49324.75]}",2026-06-20 19:31:03
45,mem_working_set,success,50,"{""sample"":[20422.31,27021.71,13678.15]}",2026-06-13 20:17:31
46,mem_working_set,success,419,"{""sample"":[13943.56,17606.86,25334.95]}",2026-06-18 17:04:48
47,restart_total,success,207,"{""sample"":[52044.98,66329.49,44419.79]}",2026-05-27 16:16:17
48,restart_total,success,287,"{""sample"":[4480.09,71328.29,5268.82]}",2026-06-10 02:36:47
49,mem_working_set,success,129,"{""sample"":[68577.28,31146.76,70196.18]}",2026-06-12 09:52:05
50,restart_total,success,395,"{""sample"":[34683.34,14002.14,61677.42]}",2026-06-15 11:49:02
51,net_latency,success,288,"{""sample"":[38112.28,25425.96,32667.91]}",2026-06-18 06:01:33
52,net_latency,success,497,"{""sample"":[23490.48,66407.07,78088.3]}",2026-06-14 11:47:25
53,net_latency,success,352,"{""sample"":[83913.12,61439.85,63683.52]}",2026-06-18 02:19:06
54,http_5xx,success,183,"{""sample"":[82511.64,80237.08,86250.45]}",2026-06-14 18:34:52
55,http_5xx,success,296,"{""sample"":[54993.66,5477.02,68230.28]}",2026-06-09 10:04:55
56,net_latency,success,202,"{""sample"":[16273.82,56085.03,64536.35]}",2026-06-10 20:14:11
